station_id,station_name,station_code,nfc_code,country,lat,lon,analysis_period,data_period,par_id,non_missing,n_start,n_end,mean,median,std_dev,mk_stat,norm_mk_stat,mk_p_val,trend,sen_slp,symbol,link
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,TOC,23,5,5,10.9013043478,11.2,1.23521181234,96.0,2.5122079554,0.0119978364736,increasing,0.09375,small_red,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_TOC_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,EH,23,5,5,10.2206332629,10.0,2.61943910074,-116.0,-3.04322271314,0.00234059037328,decreasing,-0.219063255722,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_EH_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ESO4,23,5,5,33.115942029,25.9375,15.5588851554,-218.0,-5.73306882707,9.862958672e-09,decreasing,-2.04613095238,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ESO4_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ECl,23,5,5,13.8695652174,13.5714285714,3.00769361137,-171.0,-4.5701787017,4.87308502328e-06,decreasing,-0.274725274725,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ECl_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ENO3,23,5,5,0.982919254658,0.928571428571,0.371601727436,-135.0,-3.54974671693,0.000385601954384,decreasing,-0.0357142857143,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ENO3_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ESO4X,23,5,5,31.6873768116,24.7309285714,15.2987502927,-215.0,-5.65183766639,1.5874147552e-08,decreasing,-2.01714652015,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ESO4X_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ESO4_ECl,23,5,5,46.9855072464,39.2857142857,18.1656365864,-229.0,-6.02158405578,1.72718284119e-09,decreasing,-2.32886904762,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ESO4_ECl_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ECa_EMg,23,5,5,63.2811594203,62.4166666667,9.04146495285,-172.0,-4.51776391442,6.24961086704e-06,decreasing,-1.15476190476,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ECa_EMg_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ECaX_EMgX,23,5,5,60.0495507246,59.2545238095,8.48980296901,-173.0,-4.54259849822,5.55650195855e-06,decreasing,-1.08459863946,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ECaX_EMgX_1990-2012.png
108,"Langtjern, utløp",LAE01,,Norway,60.37246,9.72666,1990-2012,1990-2012,ANC,23,5,5,43.0675124812,46.4288103201,9.3605663077,141.0,3.6974638939,0.000217764180824,increasing,0.929933679157,small_red,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\108_ANC_1990-2012.png
221,Birkenes,BIE01,,Norway,58.3854261264,8.24172113726,1990-2012,1990-2012,TOC,23,5,5,5.03456521739,5.0,0.501594985665,131.0,3.44458997467,0.00057192625098,increasing,0.0529411764706,small_red,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\221_TOC_1990-2012.png
221,Birkenes,BIE01,,Norway,58.3854261264,8.24172113726,1990-2012,1990-2012,EH,23,5,5,16.7507584,15.8489319246,4.47597740484,-145.0,-3.8093105342,0.00013935484582,decreasing,-0.499327246986,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\221_EH_1990-2012.png
221,Birkenes,BIE01,,Norway,58.3854261264,8.24172113726,1990-2012,1990-2012,ESO4,23,5,5,76.4764492754,68.75,22.1756631041,-207.0,-5.46090687204,4.73708505755e-08,decreasing,-3.0,small_green,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\221_ESO4_1990-2012.png
221,Birkenes,BIE01,,Norway,58.3854261264,8.24172113726,1990-2012,1990-2012,ECl,23,5,5,134.552795031,128.857142857,26.9246975872,-57.0,-1.47898555756,0.139144174822,no trend,-1.42857142857,small_yellow,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\221_ECl_1990-2012.png
221,Birkenes,BIE01,,Norway,58.3854261264,8.24172113726,1990-2012,1990-2012,ENO3,23,5,5,6.97204968944,6.78571428571,1.65673684156,-51.0,-1.32052281925,0.186660522416,no trend,-0.0892857142857,small_yellow,http://77.104.141.195/~icpwater/wp-content/core_plots/trends_plots_1990-2012\221_ENO3_1990-2012.png
